subject,accuracy
abstract_algebra,0.38
anatomy,0.5703703703703704
astronomy,0.5921052631578947
business_ethics,0.66
clinical_knowledge,0.6452830188679245
college_biology,0.6597222222222222
college_chemistry,0.35
college_computer_science,0.52
college_mathematics,0.41
college_medicine,0.6473988439306358
college_physics,0.3431372549019608
computer_security,0.66
conceptual_physics,0.5361702127659574
econometrics,0.39473684210526316
electrical_engineering,0.5379310344827586
elementary_mathematics,0.4444444444444444
formal_logic,0.4365079365079365
global_facts,0.32
high_school_biology,0.7161290322580646
high_school_chemistry,0.4433497536945813
high_school_computer_science,0.64
high_school_european_history,0.7393939393939394
high_school_geography,0.7373737373737373
high_school_government_and_politics,0.7668393782383419
high_school_macroeconomics,0.5512820512820513
high_school_mathematics,0.34814814814814815
high_school_microeconomics,0.5882352941176471
high_school_physics,0.36423841059602646
high_school_psychology,0.7798165137614679
high_school_statistics,0.5185185185185185
high_school_us_history,0.8088235294117647
high_school_world_history,0.7890295358649789
human_aging,0.6188340807174888
human_sexuality,0.6564885496183206
international_law,0.7355371900826446
jurisprudence,0.6666666666666666
logical_fallacies,0.6134969325153374
machine_learning,0.38392857142857145
management,0.6990291262135923
marketing,0.811965811965812
medical_genetics,0.62
miscellaneous,0.776500638569604
moral_disputes,0.5346820809248555
moral_scenarios,0.3329608938547486
nutrition,0.6274509803921569
philosophy,0.6012861736334405
prehistory,0.6111111111111112
professional_accounting,0.425531914893617
professional_law,0.45241199478487615
professional_medicine,0.6507352941176471
professional_psychology,0.5751633986928104
public_relations,0.6363636363636364
security_studies,0.6530612244897959
sociology,0.7512437810945274
us_foreign_policy,0.82
virology,0.4397590361445783
world_religions,0.7543859649122807
