subject,accuracy
abstract_algebra,0.09090909090909091
anatomy,0.5
astronomy,0.5625
business_ethics,0.8181818181818182
clinical_knowledge,0.41379310344827586
college_biology,0.6875
college_chemistry,0.25
college_computer_science,0.18181818181818182
college_mathematics,0.36363636363636365
college_medicine,0.5454545454545454
college_physics,0.36363636363636365
computer_security,0.5454545454545454
conceptual_physics,0.46153846153846156
econometrics,0.5
electrical_engineering,0.375
elementary_mathematics,0.34146341463414637
formal_logic,0.2857142857142857
global_facts,0.2
high_school_biology,0.71875
high_school_chemistry,0.36363636363636365
high_school_computer_science,0.7777777777777778
high_school_european_history,0.8333333333333334
high_school_geography,0.8181818181818182
high_school_government_and_politics,0.7619047619047619
high_school_macroeconomics,0.5348837209302325
high_school_mathematics,0.41379310344827586
high_school_microeconomics,0.5769230769230769
high_school_physics,0.35294117647058826
high_school_psychology,0.8333333333333334
high_school_statistics,0.43478260869565216
high_school_us_history,0.6363636363636364
high_school_world_history,0.8076923076923077
human_aging,0.6521739130434783
human_sexuality,0.3333333333333333
international_law,0.8461538461538461
jurisprudence,0.45454545454545453
logical_fallacies,0.5555555555555556
machine_learning,0.18181818181818182
management,0.8181818181818182
marketing,0.76
medical_genetics,0.8181818181818182
miscellaneous,0.6395348837209303
moral_disputes,0.4473684210526316
moral_scenarios,0.27
nutrition,0.696969696969697
philosophy,0.5
prehistory,0.45714285714285713
professional_accounting,0.41935483870967744
professional_law,0.4764705882352941
professional_medicine,0.6129032258064516
professional_psychology,0.6231884057971014
public_relations,0.5
security_studies,0.7407407407407407
sociology,0.8636363636363636
us_foreign_policy,0.7272727272727273
virology,0.6111111111111112
world_religions,0.6842105263157895
